@relation zoo

@attribute name {aardvark, antelope, bear, boar, buffalo, calf,cavy, cheetah, deer, dolphin, elephant, fruitbat, giraffe, girl, goat, gorilla, hamster,hare, leopard, lion, lynx, mink, mole, mongoose, opossum, oryx, platypus, polecat, pony,porpoise, puma, pussycat, raccoon, reindeer,seal, sealion, squirrel, vampire, vole, wallaby,wolf, chicken, crow, dove, duck, flamingo, gull, hawk,kiwi, lark, ostrich, parakeet, penguin, pheasant,rhea, skimmer, skua, sparrow, swan, vulture, wren, pitviper, seasnake, slowworm, tortoise, tuatara, bass, carp, catfish, chub, dogfish, haddock,herring, pike, piranha, seahorse, sole, stingray, tuna, frog, newt, toad, flea, gnat, honeybee, housefly, ladybird, moth, termite, wasp, clam, crab, crayfish, lobster, octopus,scorpion, seawasp, slug, starfish, worm}
@attribute hair {0,1}
@attribute feathers {0,1}
@attribute eggs {0,1}
@attribute milk {0,1}
@attribute airborne {0,1}
@attribute aquatic {0,1}
@attribute predator {0,1}
@attribute toothed {0,1}
@attribute backbone {0,1}
@attribute breathes {0,1}
@attribute venomous {0,1}
@attribute fins {0,1}
@attribute legs {0,2,4,5,6,8}
@attribute tail {0,1}
@attribute domestic {0,1}
@attribute catsize {0,1}
@attribute type {Mammal,Bird,Reptile,Fish,Amphibian,Insect,Mollusc}


@data
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptile
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Mammal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Mammal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Bird
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Mollusc
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Mammal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Mammal
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptile
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Mollusc
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptile
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Mollusc
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Mammal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Mollusc
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Bird
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Insect
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,Reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Reptile
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mammal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Mammal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Insect
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Mollusc
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Bird
